sample_id,pred_x,pred_y,gt_x,gt_y,error_px,scale,score,matched,time_ms
1,521.0,321.0,520.5,320.5,0.707,0.1,0.8338,True,1324.8
2,520.0,480.0,520.0,480.0,0.0,0.08,0.7672,True,1280.64
3,200.0,280.0,200.0,280.0,0.0,0.09,0.8614,True,1391.26
4,280.5,520.5,280.0,520.0,0.707,0.115,0.8242,True,1335.17
5,480.0,520.0,480.0,520.0,0.0,0.09,0.7934,True,1512.58
6,360.5,400.5,360.5,400.5,0.0,0.115,0.8835,True,1380.66
7,400.0,520.0,400.5,520.5,0.707,0.11,0.8295,True,1369.52
8,440.5,399.5,440.0,400.0,0.707,0.105,0.8102,True,1422.24
9,560.5,520.5,560.5,520.5,0.0,0.105,0.8781,True,1367.57
10,401.0,441.0,400.5,440.5,0.707,0.09,0.8041,True,1424.59
11,601.0,681.0,600.5,680.5,0.707,0.09,0.7871,True,1390.76
12,280.5,760.5,280.5,760.5,0.0,0.115,0.8114,True,1348.44
13,330.0,370.0,320.5,680.5,310.645,0.1,0.7664,True,2863.98
14,280.5,520.5,280.0,520.0,0.707,0.105,0.8507,True,2979.2
15,360.0,640.0,360.0,640.0,0.0,0.12,0.8073,True,2612.51
16,290.0,330.0,760.5,360.5,471.488,0.1,0.7744,True,2280.41
17,800.0,320.0,800.0,320.0,0.0,0.11,0.8485,True,2288.85
18,520.5,840.5,520.5,840.5,0.0,0.105,0.8033,True,2180.61
19,600.0,680.0,600.0,680.0,0.0,0.1,0.7998,True,2139.42
20,520.5,400.5,520.5,400.5,0.0,0.105,0.8982,True,2179.68
21,600.5,320.5,600.5,320.5,0.0,0.095,0.7968,True,2530.18
22,200.0,720.0,200.0,720.0,0.0,0.11,0.8195,True,2310.37
23,840.5,400.5,840.5,400.5,0.0,0.115,0.9004,True,2262.0
24,481.0,641.0,480.5,640.5,0.707,0.1,0.8573,True,2093.76
25,440.0,280.0,440.0,280.0,0.0,0.1,0.8463,True,2109.17
26,800.0,600.0,800.0,600.0,0.0,0.09,0.7385,True,2147.12
27,400.5,480.5,400.5,480.5,0.0,0.105,0.9009,True,2135.8
28,480.0,360.0,480.0,360.0,0.0,0.09,0.8118,True,2463.31
29,520.5,760.5,520.5,760.5,0.0,0.105,0.7945,True,2733.87
30,600.0,800.0,600.0,800.0,0.0,0.1,0.8655,True,2342.65
31,560.5,480.5,560.5,480.5,0.0,0.115,0.8973,True,2458.33
32,599.5,520.5,600.0,520.0,0.707,0.095,0.7944,True,2688.71
33,600.5,560.5,600.5,560.5,0.0,0.105,0.8026,True,2471.74
34,240.0,800.0,240.0,800.0,0.0,0.11,0.8425,True,1306.38
35,280.0,360.0,280.0,360.0,0.0,0.1,0.8415,True,2088.18
36,321.0,320.0,320.5,320.5,0.707,0.1,0.8227,True,2987.97
37,280.5,280.5,280.5,280.5,0.0,0.105,0.851,True,1442.79
38,680.5,200.5,680.5,200.5,0.0,0.115,0.8298,True,1299.14
39,600.5,760.5,600.5,760.5,0.0,0.115,0.9,True,1233.84
40,760.5,240.5,760.5,240.5,0.0,0.095,0.8679,True,1232.36
41,480.5,800.5,480.5,800.5,0.0,0.085,0.7875,True,1248.68
42,560.0,640.0,560.0,640.0,0.0,0.11,0.8319,True,1222.56
43,570.0,370.0,280.0,320.0,294.279,0.1,0.7406,True,1249.79
