sample_id,pred_x,pred_y,gt_x,gt_y,error_px,scale,score,matched,time_ms
1,485.0,413.0,485.5,413.5,0.707,0.09,0.8944,True,3174.89
2,575.5,234.5,576.0,234.0,0.707,0.085,0.9007,True,2954.16
3,236.5,609.5,236.0,609.0,0.707,0.105,0.9255,True,2692.71
4,603.0,615.0,603.5,614.5,0.707,0.11,0.9182,True,2558.33
5,434.5,595.5,435.0,596.0,0.707,0.115,0.9073,True,2747.59
6,671.0,342.0,671.5,342.5,0.707,0.09,0.9091,True,2525.55
7,461.0,282.0,461.0,282.0,0.0,0.09,0.9282,True,2734.98
8,689.5,691.5,689.5,691.5,0.0,0.115,0.9544,True,2594.36
9,547.5,539.5,547.5,539.5,0.0,0.115,0.9218,True,2755.48
10,811.0,570.0,811.0,570.0,0.0,0.09,0.8886,True,2789.28
11,371.0,478.0,371.0,478.0,0.0,0.1,0.9382,True,2617.35
12,670.5,311.5,670.5,311.5,0.0,0.105,0.9015,True,2498.92
13,740.0,561.0,740.5,561.5,0.707,0.09,0.9076,True,2606.76
14,689.5,520.5,690.0,521.0,0.707,0.105,0.904,True,2429.85
15,742.5,808.5,742.5,808.5,0.0,0.085,0.9291,True,2505.1
16,419.5,508.5,419.5,508.5,0.0,0.105,0.928,True,2832.66
17,520.5,617.5,520.5,617.5,0.0,0.095,0.9194,True,2619.45
18,761.5,502.5,761.5,502.5,0.0,0.095,0.9266,True,2826.52
19,647.0,591.0,647.0,591.0,0.0,0.1,0.9536,True,2684.0
20,445.5,412.5,445.5,412.5,0.0,0.095,0.9301,True,2609.84
21,170.5,687.5,170.5,687.5,0.0,0.095,0.8899,True,2747.06
22,488.5,234.5,488.0,234.0,0.707,0.105,0.9112,True,2574.19
23,476.5,692.5,476.5,692.5,0.0,0.105,0.9154,True,2519.66
24,280.5,342.5,281.0,342.0,0.707,0.115,0.9265,True,2749.96
25,589.0,359.0,589.0,359.0,0.0,0.08,0.8763,True,2514.44
