sample_id,pred_x,pred_y,gt_x,gt_y,error_px,scale,score,matched,time_ms
1,440.0,480.0,440.0,480.0,0.0,0.09,0.7873,True,1554.81
2,301.0,761.0,300.5,760.5,0.707,0.11,0.7762,True,1465.31
3,480.5,300.5,480.5,300.5,0.0,0.095,0.8722,True,2349.58
4,610.0,530.0,280.0,560.0,331.361,0.1,0.7645,True,2460.81
5,811.0,810.0,810.5,810.5,0.707,0.08,0.7786,True,3071.99
6,680.5,699.5,680.0,700.0,0.707,0.095,0.8081,True,2537.1
7,460.5,490.5,460.5,490.5,0.0,0.095,0.7619,True,2272.37
8,770.0,770.0,770.5,770.5,0.707,0.1,0.7806,True,2235.84
9,620.5,480.5,620.5,480.5,0.0,0.115,0.8349,True,2407.96
10,799.5,630.5,800.0,630.0,0.707,0.085,0.7844,True,2279.56
11,770.0,230.0,770.0,230.0,0.0,0.1,0.8664,True,2554.43
12,410.0,590.0,410.0,590.0,0.0,0.08,0.7485,True,2461.52
13,499.5,219.5,500.0,220.0,0.707,0.115,0.7929,True,2365.25
14,620.0,320.0,620.0,320.0,0.0,0.11,0.8372,True,2453.05
15,390.5,340.5,390.5,340.5,0.0,0.115,0.7724,True,2238.94
16,770.5,730.5,770.5,730.5,0.0,0.105,0.8914,True,2355.63
17,260.5,190.5,260.0,190.0,0.707,0.085,0.7838,True,2366.69
18,769.5,740.5,770.0,740.0,0.707,0.095,0.8237,True,2498.63
19,560.0,441.0,560.5,440.5,0.707,0.08,0.7787,True,2586.66
20,510.5,620.5,510.5,620.5,0.0,0.085,0.7874,True,2675.28
21,580.0,810.0,580.0,810.0,0.0,0.11,0.7786,True,2804.67
22,611.0,691.0,610.5,690.5,0.707,0.08,0.743,True,2757.38
23,680.5,430.5,680.5,430.5,0.0,0.115,0.876,True,2750.66
24,420.0,290.0,420.0,290.0,0.0,0.12,0.819,True,2726.09
25,571.0,790.0,570.5,790.5,0.707,0.1,0.8108,True,2724.49
26,530.5,690.5,530.0,690.0,0.707,0.085,0.7582,True,2738.77
27,300.5,510.5,300.5,510.5,0.0,0.105,0.8006,True,2753.52
