sample_id,pred_x,pred_y,gt_x,gt_y,error_px,scale,score,matched,time_ms
1,441.0,481.0,441.0,481.0,0.0,0.09,0.8722,True,1198.79
2,301.0,756.0,300.5,756.5,0.707,0.11,0.8996,True,1234.29
3,481.5,303.5,481.5,303.5,0.0,0.095,0.9503,True,1253.17
4,283.5,559.5,283.0,559.0,0.707,0.115,0.8994,True,1200.95
5,813.0,806.0,812.5,806.5,0.707,0.08,0.8859,True,1188.76
6,680.5,699.5,680.0,700.0,0.707,0.095,0.8945,True,1179.69
7,462.5,493.5,462.5,493.5,0.0,0.095,0.8709,True,1192.67
8,770.0,768.0,769.5,767.5,0.707,0.1,0.8881,True,1184.82
9,621.5,478.5,621.5,478.5,0.0,0.115,0.8992,True,1177.78
10,804.5,625.5,804.0,626.0,0.707,0.085,0.8863,True,1186.83
11,771.0,226.0,771.0,226.0,0.0,0.1,0.9397,True,1181.39
12,408.0,587.0,408.0,587.0,0.0,0.08,0.8756,True,1183.67
13,499.5,221.5,499.0,222.0,0.707,0.115,0.9012,True,1191.68
14,617.0,319.0,617.0,319.0,0.0,0.11,0.9415,True,1188.74
15,385.5,344.5,385.5,344.5,0.0,0.115,0.8869,True,1182.07
16,769.5,726.5,769.5,726.5,0.0,0.105,0.955,True,1178.83
17,257.5,190.5,257.0,190.0,0.707,0.085,0.8963,True,1180.95
18,775.5,745.5,775.0,745.0,0.707,0.095,0.8832,True,1193.19
19,559.0,441.0,559.5,441.5,0.707,0.08,0.8748,True,1177.7
20,507.5,618.5,507.5,618.5,0.0,0.085,0.8858,True,1197.16
21,581.0,813.0,581.0,813.0,0.0,0.11,0.8837,True,1184.79
22,611.0,690.0,611.5,689.5,0.707,0.08,0.881,True,1206.73
23,679.5,430.5,679.5,430.5,0.0,0.115,0.9452,True,1187.99
24,420.0,292.0,420.0,292.0,0.0,0.12,0.8939,True,1186.34
25,574.0,791.0,573.5,791.5,0.707,0.1,0.9028,True,1195.55
26,527.5,685.5,527.0,685.0,0.707,0.085,0.8612,True,1191.1
27,298.5,509.5,298.5,509.5,0.0,0.105,0.8571,True,1186.0
28,637.5,194.5,638.0,195.0,0.707,0.105,0.89,True,1182.22
29,205.0,702.0,205.5,701.5,0.707,0.12,0.9006,True,1182.45
